kind,period,start,end,rows,status
guarantee,20161,20160101,20160331,791,ok
guarantee,20162,20160401,20160630,947,ok
guarantee,20163,20160701,20160930,623,ok
guarantee,20164,20161001,20161231,701,ok
guarantee,20171,20170101,20170331,895,ok
guarantee,20172,20170401,20170630,1081,ok
guarantee,20173,20170701,20170930,772,ok
guarantee,20174,20171001,20171231,769,ok
guarantee,20181,20180101,20180331,985,ok
guarantee,20182,20180401,20180630,1257,ok
guarantee,20183,20180701,20180930,836,ok
guarantee,20184,20181001,20181231,848,ok
guarantee,20191,20190101,20190331,1043,ok
guarantee,20192,20190401,20190630,1440,ok
guarantee,20193,20190701,20190930,846,ok
guarantee,20194,20191001,20191231,889,ok
guarantee,20201,20200101,20200331,971,ok
guarantee,20202,20200401,20200630,1657,ok
guarantee,20203,20200701,20200930,899,ok
guarantee,20204,20201001,20201231,869,ok
guarantee,20211,20210101,20210331,1149,ok
guarantee,20212,20210401,20210630,1716,ok
guarantee,20213,20210701,20210930,1002,ok
guarantee,20214,20211001,20211231,1058,ok
guarantee,20221,20220101,20220331,1288,ok
guarantee,20222,20220401,20220630,1860,ok
guarantee,20223,20220701,20220930,1168,ok
guarantee,20224,20221001,20221231,1208,ok
guarantee,20231,20230101,20230331,1376,ok
guarantee,20232,20230401,20230630,2194,ok
guarantee,20233,20230701,20230930,1320,ok
guarantee,20234,20231001,20231231,1349,ok
guarantee,20241,20240101,20240331,1439,ok
guarantee,20242,20240401,20240630,2311,ok
guarantee,20243,20240701,20240930,1349,ok
guarantee,20244,20241001,20241231,1491,ok
guarantee,20251,20250101,20250331,1483,ok
guarantee,20252,20250401,20250630,2404,ok
guarantee,20253,20250701,20250930,1457,ok
guarantee,20254,20251001,20251231,1493,ok
guarantee,20261,20260101,20260331,1584,ok
guarantee,20262,20260401,20260630,2468,ok
guarantee,20263,20260701,20260930,1437,ok
guarantee,20264,20261001,20261231,0,failed:ValueError
lawsuit,20161,20160101,20160331,69,ok
lawsuit,20162,20160401,20160630,89,ok
lawsuit,20163,20160701,20160930,105,ok
lawsuit,20164,20161001,20161231,101,ok
lawsuit,20171,20170101,20170331,97,ok
lawsuit,20172,20170401,20170630,109,ok
lawsuit,20173,20170701,20170930,111,ok
lawsuit,20174,20171001,20171231,96,ok
lawsuit,20181,20180101,20180331,103,ok
lawsuit,20182,20180401,20180630,119,ok
lawsuit,20183,20180701,20180930,165,ok
lawsuit,20184,20181001,20181231,147,ok
lawsuit,20191,20190101,20190331,133,ok
lawsuit,20192,20190401,20190630,173,ok
lawsuit,20193,20190701,20190930,182,ok
lawsuit,20194,20191001,20191231,180,ok
lawsuit,20201,20200101,20200331,137,ok
lawsuit,20202,20200401,20200630,194,ok
lawsuit,20203,20200701,20200930,201,ok
lawsuit,20204,20201001,20201231,174,ok
lawsuit,20211,20210101,20210331,165,ok
lawsuit,20212,20210401,20210630,166,ok
lawsuit,20213,20210701,20210930,229,ok
lawsuit,20214,20211001,20211231,222,ok
lawsuit,20221,20220101,20220331,182,ok
lawsuit,20222,20220401,20220630,184,ok
lawsuit,20223,20220701,20220930,209,ok
lawsuit,20224,20221001,20221231,167,ok
lawsuit,20231,20230101,20230331,165,ok
lawsuit,20232,20230401,20230630,188,ok
lawsuit,20233,20230701,20230930,198,ok
lawsuit,20234,20231001,20231231,210,ok
lawsuit,20241,20240101,20240331,198,ok
lawsuit,20242,20240401,20240630,187,ok
lawsuit,20243,20240701,20240930,215,ok
lawsuit,20244,20241001,20241231,216,ok
lawsuit,20251,20250101,20250331,186,ok
lawsuit,20252,20250401,20250630,220,ok
lawsuit,20253,20250701,20250930,260,ok
lawsuit,20254,20251001,20251231,212,ok
lawsuit,20261,20260101,20260331,189,ok
lawsuit,20262,20260401,20260630,254,ok
lawsuit,20263,20260701,20260930,183,ok
lawsuit,20264,20261001,20261231,0,ok
