period,status,rows,seconds,err
2016一季,ok,2615,1.0,
2016半年报,ok,2659,1.1,
2016三季,ok,2719,1.1,
2016年报,ok,2896,1.1,
2017一季,ok,2965,1.2,
2017半年报,ok,3093,1.1,
2017三季,ok,3168,1.1,
2017年报,ok,3269,1.4,
2018一季,ok,3285,1.2,
2018半年报,ok,3310,1.2,
2018三季,ok,3328,1.2,
2018年报,ok,3370,1.3,
2019一季,ok,3385,1.2,
2019半年报,ok,3431,1.2,
2019三季,ok,3479,1.1,
2019年报,ok,3587,1.2,
2020一季,ok,3613,1.2,
2020半年报,ok,3719,1.2,
2020三季,ok,3851,1.2,
2020年报,ok,4057,1.3,
2021一季,ok,4080,1.3,
2021半年报,ok,4244,1.3,
2021三季,ok,4329,1.5,
2021年报,ok,4584,1.4,
2022一季,ok,4610,1.3,
2022半年报,ok,4725,1.4,
2022三季,ok,4823,1.3,
2022年报,ok,5001,1.4,
2023一季,ok,5021,1.4,
2023半年报,ok,5156,1.4,
2023三季,ok,5201,1.4,
2023年报,ok,5271,1.7,
2024一季,ok,5275,1.4,
2024半年报,ok,5294,1.3,
2024三季,ok,5317,1.3,
2024年报,ok,5370,1.5,
2025一季,ok,5376,2.6,
2025半年报,ok,5402,1.7,
2025三季,ok,5421,1.9,
2025年报,ok,5488,1.3,
2026一季,ok,5504,0.5,
2026半年报,ok,5550,0.3,
2026三季,FAIL,0,0.7,"ValueError: Length mismatch: Expected axis has 0 elements, new values have 10 elements"
2026年报,FAIL,0,0.8,"ValueError: Length mismatch: Expected axis has 0 elements, new values have 10 elements"
