table,period,status,rows,seconds,err,at
xjll,20160331,cached,3140,0.0,,18:14:48
zcfz,20160331,cached,2754,0.0,,18:14:48
lrb,20160331,cached,3143,0.0,,18:14:48
yjbb,20160331,cached,3693,0.0,,18:14:48
xjll,20160630,cached,3669,0.0,,18:14:48
zcfz,20160630,cached,3443,0.0,,18:14:48
lrb,20160630,cached,3675,0.0,,18:14:48
yjbb,20160630,cached,8261,0.0,,18:14:48
lrb,20160930,cached,3317,0.0,,18:14:48
yjbb,20160930,cached,3791,0.0,,18:14:48
zcfz,20160930,cached,2931,0.0,,18:14:48
zcfz,20161231,cached,4361,0.0,,18:14:48
lrb,20161231,cached,4361,0.0,,18:14:48
xjll,20160930,cached,3311,0.0,,18:14:48
yjbb,20161231,cached,9529,0.0,,18:14:48
xjll,20161231,cached,4361,0.0,,18:14:48
yjbb,20170331,cached,4487,0.0,,18:14:48
xjll,20170331,cached,3445,0.0,,18:14:48
lrb,20170331,cached,3450,0.0,,18:14:48
zcfz,20170331,cached,3150,0.0,,18:14:48
zcfz,20170630,ok,3796,5.67,,18:14:54
lrb,20170630,ok,3826,6.1,,18:14:54
xjll,20170630,ok,3823,6.28,,18:14:54
yjbb,20170630,ok,8789,10.48,,18:14:58
yjbb,20170930,ok,4383,5.22,,18:14:59
zcfz,20170930,ok,3318,5.16,,18:14:59
lrb,20170930,ok,3465,5.27,,18:15:00
xjll,20170930,ok,3461,8.02,,18:15:07
lrb,20171231,ok,4690,8.87,,18:15:08
zcfz,20171231,ok,4691,9.34,,18:15:09
xjll,20171231,ok,4690,6.46,,18:15:13
yjbb,20171231,ok,9943,14.87,,18:15:14
zcfz,20180331,ok,3447,5.69,,18:15:14
yjbb,20180331,ok,4652,6.38,,18:15:15
lrb,20180331,ok,3580,5.0,,18:15:18
xjll,20180331,ok,3577,5.54,,18:15:19
zcfz,20180630,ok,3752,8.32,,18:15:23
lrb,20180630,ok,3822,6.19,,18:15:24
xjll,20180630,ok,3813,5.59,,18:15:25
yjbb,20180630,ok,8933,11.24,,18:15:26
zcfz,20180930,ok,3457,4.88,,18:15:29
yjbb,20180930,ok,4612,6.38,,18:15:30
lrb,20180930,ok,3681,5.7,,18:15:31
xjll,20180930,ok,3677,5.79,,18:15:31
zcfz,20181231,ok,4990,7.39,,18:15:37
lrb,20181231,ok,4990,7.08,,18:15:38
xjll,20181231,ok,4990,6.81,,18:15:38
yjbb,20181231,ok,10314,13.42,,18:15:42
