period,status,rows,seconds
20150331,ok,86,0.4
20150630,ok,301,0.5
20150930,ok,114,0.6
20151231,ok,1711,1.4
20160331,ok,105,0.6
20160630,ok,300,0.7
20160930,ok,133,0.7
20161231,ok,2006,2.4
20170331,ok,105,0.7
20170630,ok,324,0.8
20170930,ok,95,0.7
20171231,ok,2095,2.1
20180331,ok,89,0.6
20180630,ok,298,0.7
20180930,ok,123,0.6
20181231,ok,2245,2.7
20190331,ok,213,0.7
20190630,ok,393,0.7
20190930,ok,393,0.9
20191231,ok,2445,2.6
20200331,ok,417,1.2
20200630,ok,450,0.7
20200930,ok,503,1.4
20201231,ok,2114,2.5
20210331,ok,442,0.8
20210630,ok,355,0.7
20210930,ok,443,0.8
20211231,ok,1654,1.7
20220331,ok,349,0.8
20220630,ok,316,0.9
20220930,ok,276,0.8
20221231,ok,1360,1.8
20230331,ok,189,0.7
20230630,ok,250,1.0
20230930,ok,126,0.7
20231231,ok,1139,2.0
20240331,ok,90,0.6
20240630,ok,153,0.6
20240930,ok,104,0.8
20241231,ok,1050,1.4
20250331,ok,91,0.7
20250630,ok,121,0.6
20250930,ok,53,0.8
20251231,ok,890,1.2
20260331,ok,45,0.9
20260630,ok,62,0.9
20260930,FAIL,0,6.6
20261231,FAIL,0,6.8
