period,status,rows,seconds
20150331,cached,0,0.0
20150630,cached,0,0.0
20150930,cached,0,0.0
20151231,cached,0,0.0
20160331,cached,0,0.0
20160630,cached,0,0.0
20160930,cached,0,0.0
20161231,cached,0,0.0
20170331,cached,0,0.0
20170630,cached,0,0.0
20170930,cached,0,0.0
20171231,cached,0,0.0
20180331,cached,0,0.0
20180630,cached,0,0.0
20180930,cached,0,0.0
20181231,cached,0,0.0
20190331,cached,0,0.0
20190630,cached,0,0.0
20190930,cached,0,0.0
20191231,cached,0,0.0
20200331,cached,0,0.0
20200630,cached,0,0.0
20200930,cached,0,0.0
20201231,cached,0,0.0
20210331,cached,0,0.0
20210630,cached,0,0.0
20210930,cached,0,0.0
20211231,cached,0,0.0
20220331,cached,0,0.0
20220630,cached,0,0.0
20220930,cached,0,0.0
20221231,cached,0,0.0
20230331,cached,0,0.0
20230630,cached,0,0.0
20230930,cached,0,0.0
20231231,cached,0,0.0
20240331,cached,0,0.0
20240630,cached,0,0.0
20240930,cached,0,0.0
20241231,cached,0,0.0
20250331,cached,0,0.0
20250630,cached,0,0.0
20250930,cached,0,0.0
20251231,cached,0,0.0
20260331,cached,0,0.0
20260630,cached,0,0.0
20260930,cached,0,0.0
20261231,cached,0,0.0
