code,date,fy,title,status,chars,err
600075,2016-08-26,2016,2016年度中期业绩预告修正公告,cached,1218,
002310,2016-11-10,2016,2016年度业绩预告修正公告,cached,816,
002358,2016-11-30,2016,2016年度业绩预告修正公告,cached,791,
002116,2016-12-07,2016,2016年度业绩预告修正公告,cached,970,
002240,2016-12-13,2016,2016年度业绩预告修正公告,cached,809,
002279,2016-12-24,2016,2016年度业绩预告修正公告,cached,725,
002205,2016-12-27,2016,2016年度业绩预告修正公告,ok,872,
002277,2016-12-28,2016,2016年度业绩预告修正公告,ok,871,
002297,2016-12-31,2016,关于2016年度业绩预告修正公告,ok,939,
002258,2017-01-04,2016,2016年度业绩预告修正公告,ok,749,
002423,2017-01-04,2016,2016年度业绩预告修正公告,ok,1190,
002166,2017-01-07,2016,2016年度业绩预告修正公告,ok,919,
002757,2017-01-07,2016,2016年度业绩预告修正公告,ok,761,
002046,2017-01-10,2016,2016年度业绩预告修正公告,ok,834,
002057,2017-01-10,2016,2016年度业绩预告修正公告,ok,732,
002092,2017-01-10,2016,2016年度业绩预告修正公告,ok,855,
002140,2017-01-10,2016,2016年度业绩预告修正公告,ok,1050,
002376,2017-01-10,2016,2016年度业绩预告修正公告,ok,791,
002508,2017-01-10,2016,2016年度业绩预告修正公告,ok,729,
002024,2017-01-11,2016,2016年度业绩预告修正公告,ok,1633,
002151,2017-01-12,2016,2016年度业绩预告修正公告,ok,1073,
002629,2017-01-12,2016,2016年度业绩预告修正公告,ok,943,
002648,2017-01-12,2016,2016年度业绩预告修正公告,ok,757,
002075,2017-01-14,2016,2016年度业绩预告修正公告,ok,734,
002098,2017-01-14,2016,2016年度业绩预告修正公告,ok,937,
002225,2017-01-14,2016,2016年度业绩预告修正公告,ok,942,
002235,2017-01-14,2016,2016年度业绩预告修正公告,ok,807,
002334,2017-01-14,2016,2016年度业绩预告修正公告,ok,1007,
002528,2017-01-14,2016,2016年度业绩预告修正公告,ok,1467,
002641,2017-01-14,2016,2016年度业绩预告修正公告,ok,942,
002693,2017-01-14,2016,2016年度业绩预告修正公告,ok,1132,
002777,2017-01-14,2016,2016年度业绩预告修正公告,ok,794,
000985,2017-01-17,2016,2016年度业绩预告修正公告,ok,798,
002181,2017-01-17,2016,2016年度业绩预告修正公告,ok,1010,
002199,2017-01-17,2016,2016年度业绩预告修正公告,ok,953,
002325,2017-01-17,2016,2016年度业绩预告修正公告,ok,918,
002404,2017-01-17,2016,2016年度业绩预告修正公告,ok,976,
002530,2017-01-17,2016,2016年度业绩预告修正公告,ok,940,
002597,2017-01-17,2016,2016年度业绩预告修正公告,ok,808,
002601,2017-01-17,2016,2016年度业绩预告修正公告,ok,801,
002318,2017-01-18,2016,2016年度业绩预告修正公告,ok,875,
002562,2017-01-18,2016,2016年度业绩预告修正公告,ok,918,
002590,2017-01-18,2016,2016年度业绩预告修正公告,ok,760,
002628,2017-01-18,2016,2016年度业绩预告修正公告,ok,816,
