id,truth_rule,人工裁定,刻度,裁定理由
002116_2016-12-07,坏→更坏,,,
002181_2019-01-31,好→更好,,,
002184_2018-01-31,坏→更坏,,,
000835_2022-03-17,坏→更坏,,,
002184_2020-01-31,好→更好,,,
002039_2019-01-29,好→更好,,,
000835_2021-01-29,好→更好,,,
000927_2020-03-31,坏→更坏,,,
002109_2017-01-25,好→更好,,,
002177_2023-04-27,坏→更坏,,,
002073_2019-01-31,坏→更坏,,,
002122_2019-01-31,坏→更坏,,,
000545_2021-01-30,好→更好,,,
002137_2020-01-23,坏→更坏,,,
002228_2019-01-31,坏→更坏,,,
002156_2019-01-31,坏→更坏,坏→更坏,0.0,"前次 14,656–20,762万 → 12,213–15,877万"
002061_2017-01-20,好→更好,,,
002098_2020-01-23,坏→更坏,,,
002207_2017-01-26,好→更好,,,
002161_2018-01-31,坏→更坏,,,
002140_2018-01-31,坏→更坏,,,
002136_2019-01-30,坏→更坏,坏→更坏,0.0,"前次 7,000–9,000万 → 4,000–5,500万"
002005_2019-01-30,坏→更坏,,,
002046_2018-01-31,好→更好,,,
002205_2016-12-27,好→更好,,,
000985_2019-01-12,好→更好,,,
002131_2019-01-31,坏→更坏,坏→更坏,0.0,"前次 盈利21,059–29,483万 → 亏损11.76–16.76亿"
002181_2017-01-17,好→更好,,,
002051_2021-01-16,好→更好,,,
002143_2019-01-31,坏→更坏,,,
002125_2019-01-31,坏→更坏,,,
002212_2018-01-30,好→更好,,,
002199_2019-01-30,坏→更坏,,,
002139_2017-01-23,好→更好,好→更好,4.0,"前次 11,288–13,707万 → 13,707–15,320万"
000587_2022-04-19,好→更好,不变,2.0,净利润『是否修正=否』；但净资产由+3.38亿下修至−1.5~−2亿（另记，不计入本题）
002184_2019-01-31,坏→更坏,,,
000760_2020-04-16,好→更好,,,
002160_2018-12-29,坏→更坏,坏→更坏,0.0,"前次 7,500–14,000万 → 亏损38,000–45,000万"
002192_2017-01-25,坏→更坏,,,
002178_2019-01-30,坏→更坏,,,
002193_2021-04-26,好→更好,,,
002170_2018-01-31,坏→更坏,,,
002178_2017-01-26,坏→更坏,,,
002141_2020-01-31,好→更好,,,
002055_2017-01-26,坏→更坏,,,
002011_2019-01-28,坏→更坏,坏→更坏,0.0,"前次 6,460–9,229万 → 修正后 亏损（勾选√亏损）"
002190_2018-01-13,坏→更坏,,,
000972_2021-03-17,坏→更坏,,,
002140_2017-01-10,坏→更坏,,,
002151_2017-01-12,坏→更坏,,,
002134_2017-01-25,坏→更坏,,,
002189_2019-01-31,好→更好,,,
002173_2025-02-26,好→更好,,,
000151_2021-02-06,好→更好,,,
002156_2018-01-31,坏→更坏,,,
002098_2019-01-31,好→更好,好→更好,3.0,前次 亏损6.93–3.95亿 → 亏损5.35–2.15亿（收窄约31%）
002098_2017-01-14,好→更好,,,
000613_2022-04-26,坏→更坏,坏→更坏,0.0,前次 盈利270–310万 → 亏损160–200万
002005_2018-01-31,坏→更坏,坏→更坏,0.0,前次 亏损1.0–1.5亿 → 亏损8–9亿
002006_2018-01-31,好→更好,,,
002130_2019-01-31,坏→更坏,,,
002094_2018-01-11,坏→更坏,,,
002091_2017-01-26,好→更好,,,
000639_2018-03-29,好→更好,,,
002131_2018-01-31,坏→更坏,,,
002201_2019-01-30,好→更好,,,
002213_2019-01-30,坏→更坏,,,
000043_2018-03-09,坏→更坏,,,
002075_2017-01-14,好→更好,,,
002055_2019-01-29,好→更好,好→更好,4.0,"前次 12,233–20,971万 → 23,592–32,330万"
002132_2019-01-31,坏→更坏,,,
002075_2018-01-27,好→更好,好→更好,4.0,"前次 47,300–57,200万 → 68,200–79,200万"
002040_2017-01-25,好→更好,,,
002065_2018-01-31,坏→更坏,坏→更坏,0.0,"前次 112,456–130,449万 → 58,477–85,466万"
002166_2018-01-30,好→更好,,,
002134_2019-01-31,坏→更坏,,,
002180_2018-01-31,好→更好,,,
002192_2019-02-27,坏→更坏,,,
002068_2017-01-25,好→更好,,,
002192_2018-01-31,好→更好,,,
002003_2019-01-19,坏→更坏,,,
002172_2018-01-30,坏→更坏,,,
002012_2017-01-24,好→更好,,,
002059_2020-01-23,坏→更坏,坏→更坏,0.0,"前次 14,000–35,000万 → 9,000–13,500万"
002120_2017-01-25,好→更好,,,
002169_2019-01-31,坏→更坏,,,
002217_2017-01-20,好→更好,,,
002220_2020-04-28,坏→更坏,,,
002168_2018-01-27,坏→更坏,,,
002146_2017-01-20,好→更好,,,
002168_2019-01-31,坏→更坏,,,
002023_2019-01-29,好→更好,好→更好,4.0,"前次 3,437–4,468万 → 6,530–7,217万"
002210_2019-01-30,坏→更坏,,,
002154_2018-11-20,坏→更坏,,,
002166_2017-01-07,好→更好,,,
002047_2019-01-31,坏→更坏,,,
002083_2018-01-31,坏→更坏,,,
002169_2017-01-26,坏→更坏,坏→更坏,0.0,"前次 15,122–18,363万 → 10,802–14,042万"
002197_2019-01-31,坏→更坏,,,
002109_2018-01-26,好→更好,,,
002200_2018-01-31,坏→更坏,,,
002092_2020-01-23,坏→更坏,,,
002141_2019-01-30,坏→更坏,,,
002135_2017-01-24,好→更好,好→更好,4.0,"前次 3,113–3,804万 → 4,496–5,188万（+30~50%）"
000981_2020-04-30,坏→更坏,,,
002199_2017-01-17,好→更好,,,
002175_2019-01-31,坏→更坏,,,
002147_2019-01-30,坏→更坏,,,
002175_2018-01-31,坏→更坏,,,
002076_2021-04-15,坏→更坏,,,
002036_2019-01-31,坏→更坏,,,
002170_2017-02-03,坏→更坏,,,
000851_2025-04-19,好→更好,坏→更坏,0.0,修正原因逐项写明净利润减少（赔偿3.23亿+递延税1亿+减值1亿）
002193_2018-02-01,好→更好,,,
002214_2019-01-24,好→更好,,,
002141_2021-01-30,好→更好,,,
002141_2018-01-31,好→更好,,,
002220_2019-01-31,坏→更坏,,,
002110_2018-01-20,好→更好,,,
002104_2017-01-21,坏→更坏,,,
