id,truth_rule,人工裁定
002227_2026-04-21,财务类,
000698_2025-10-01,合规/治理类,
000677_2026-04-30,合规/治理类,
000608_2025-04-19,财务类,
300209_2024-09-30,重整/破产,
603007_2024-04-30,合规/治理类,
603869_2024-04-30,合规/治理类,
300462_2025-07-05,合规/治理类,
002717_2026-06-03,合规/治理类,
000070_2024-05-22,合规/治理类,
601010_2026-04-29,合规/治理类,
300460_2025-12-10,合规/治理类,
300205_2025-04-29,合规/治理类,
002124_2024-04-30,重整/破产,
000793_2025-03-17,合规/治理类,
000610_2026-04-24,财务类,
688201_2026-04-28,未归类,
600476_2026-04-28,财务类,
600818_2026-04-28,未归类,
000595_2025-04-26,财务类,
002742_2023-04-29,合规/治理类,
300225_2025-07-02,合规/治理类,
002547_2026-04-29,合规/治理类,
002748_2024-05-16,合规/治理类,
300152_2025-04-29,合规/治理类,
600165_2024-04-03,未归类,
600337_2026-04-30,未归类,
300068_2026-05-06,合规/治理类,
603272_2026-04-28,财务类,
000620_2023-04-29,未归类,
002197_2024-09-05,合规/治理类,
000504_2025-04-22,财务类,
002630_2025-04-29,合规/治理类,
002883_2026-04-30,财务类,
002598_2026-05-09,合规/治理类,
000639_2026-04-29,合规/治理类,
300125_2024-08-19,合规/治理类,
601718_2026-04-30,合规/治理类,
002932_2026-04-21,财务类,
688282_2024-04-30,财务类,
688189_2026-06-10,合规/治理类,
300091_2025-12-31,重整/破产,
300899_2025-04-29,财务类,
600759_2026-04-28,合规/治理类,
300301_2025-01-10,合规/治理类,
600543_2023-04-28,财务类,
688089_2026-07-25,未归类,
002305_2025-04-29,财务类,
002743_2026-09-05,重整/破产,
600079_2025-12-13,合规/治理类,
002762_2025-04-23,财务类,
603922_2026-04-29,合规/治理类,
600360_2024-04-30,未归类,
002021_2023-11-25,重整/破产,
002713_2025-04-29,财务类,
600130_2025-04-29,财务类,
300326_2025-04-30,合规/治理类,
000615_2023-04-29,未归类,
600745_2026-04-30,合规/治理类,
002693_2025-04-29,财务类,
