id,裁定
002227_2026-04-21,B
000698_2025-10-01,A
000677_2026-04-30,A
000608_2025-04-19,?
300209_2024-09-30,C
603007_2024-04-30,A
603869_2024-04-30,A
300462_2025-07-05,A
002717_2026-06-03,A
000070_2024-05-22,A
601010_2026-04-29,A
300460_2025-12-10,A
300205_2025-04-29,B
002124_2024-04-30,B
000793_2025-03-17,A
000610_2026-04-24,B
688201_2026-04-28,A
600476_2026-04-28,D
600818_2026-04-28,D
000595_2025-04-26,?
002742_2023-04-29,A
300225_2025-07-02,B
002547_2026-04-29,?
002748_2024-05-16,A
300152_2025-04-29,A
600165_2024-04-03,?
600337_2026-04-30,B
300068_2026-05-06,A
603272_2026-04-28,D
000620_2023-04-29,B
002197_2024-09-05,A
000504_2025-04-22,D
002630_2025-04-29,A
002883_2026-04-30,B
002598_2026-05-09,A
000639_2026-04-29,A
300125_2024-08-19,A
601718_2026-04-30,A
002932_2026-04-21,?
688282_2024-04-30,B
688189_2026-06-10,A
300091_2025-12-31,C
300899_2025-04-29,B
600759_2026-04-28,D
300301_2025-01-10,A
600543_2023-04-28,B
688089_2026-07-25,?
002305_2025-04-29,D
002743_2026-09-05,A
600079_2025-12-13,A
002762_2025-04-23,B
603922_2026-04-29,A
600360_2024-04-30,D
002021_2023-11-25,C
002713_2025-04-29,B
600130_2025-04-29,D
300326_2025-04-30,A
000615_2023-04-29,B
600745_2026-04-30,A
002693_2025-04-29,?
