id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
300205_2025-04-29,合规/治理类,200,B+另:A,0.9,"{""choice"":""B+另:A"",""confidence"":0.9}",7936.2,2036,684,,
002598_2026-05-09,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",8210.3,1130,920,,
000615_2023-04-29,未归类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",12940.7,1892,1475,,
002289_2023-04-27,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5094.1,1271,220,,
300125_2024-08-19,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",4185.6,1350,290,,
603869_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5338.8,1501,541,,
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4049.9,1669,322,,
600491_2026-04-30,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",5248.5,1447,391,,
600745_2026-04-30,合规/治理类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",13019.5,1767,1917,,
002547_2026-04-29,合规/治理类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",5318.8,1291,533,,
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3137.9,1554,107,,
603007_2024-04-30,合规/治理类,200,,,,40814.9,1564,6000,,
688201_2026-04-28,未归类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",4494.0,1775,352,,
601010_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4216.8,1418,373,,
300326_2025-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",6085.3,1208,475,,
600130_2025-04-29,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3204.5,1510,147,,
002717_2026-06-03,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",6622.0,1433,529,,
002055_2026-04-29,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5770.9,1426,586,,
002197_2024-09-05,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",6694.2,1339,460,,
600337_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4230.6,1325,296,,
002762_2025-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3626.1,1771,224,,
300225_2025-07-02,合规/治理类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",10317.5,1276,1103,,
002124_2024-04-30,重整/破产,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",30613.2,1386,221,,
002742_2023-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5144.9,1880,430,,
600759_2026-04-28,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",18017.7,1364,311,,
000620_2023-04-29,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",8155.8,1899,525,,
002713_2025-04-29,财务类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",6054.4,1921,414,,
002656_2023-06-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5718.0,1154,400,,
600360_2024-04-30,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4111.5,1382,242,,
603557_2024-04-27,合规/治理类,200,B,0.92,"{""choice"":""B"",""confidence"":0.92}",28736.4,1767,3074,,
688282_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4493.3,1944,181,,
300068_2026-05-06,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",8282.5,1248,581,,
000677_2026-04-30,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",3486.3,1356,154,,
000639_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",8252.9,1384,388,,
603922_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5498.3,1465,344,,
002630_2025-04-29,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",4500.8,1689,286,,
002431_2026-04-25,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5546.8,1854,339,,
300152_2025-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",6074.9,1437,504,,
600818_2026-04-28,未归类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4163.1,1343,190,,
000504_2025-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3388.1,1524,183,,
002528_2025-04-30,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6794.5,1704,497,,
