id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
603023_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4165.5,1539.0,236.0,,
002021_2023-11-25,重整/破产,200,C,0.98,"{""choice"":""C"",""confidence"":0.98}",5225.8,2014.0,306.0,,
300205_2025-04-29,合规/治理类,200,A+B,0.95,"{""choice"":""A+B"",""confidence"":0.95}",11766.4,2036.0,938.0,,
002598_2026-05-09,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",10744.7,1130.0,849.0,,
000615_2023-04-29,未归类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",11450.0,1892.0,1248.0,,
002289_2023-04-27,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",2917.9,1271.0,164.0,,
300125_2024-08-19,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4429.3,1350.0,318.0,,
603869_2024-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4170.6,1501.0,308.0,,
000608_2025-04-19,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4452.1,1150.0,139.0,,
000929_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2969.1,1592.0,104.0,,
300462_2025-07-05,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",7025.3,1478.0,542.0,,
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6635.2,1669.0,422.0,,
600491_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4130.2,1447.0,152.0,,
600165_2024-04-03,未归类,200,E,0.98,"{""choice"":""E"",""confidence"":0.98}",4634.1,1220.0,330.0,,
000697_2023-03-22,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5139.9,1876.0,341.0,,
600745_2026-04-30,合规/治理类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",16185.3,1767.0,1753.0,,
002547_2026-04-29,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5659.4,1291.0,383.0,,
002693_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5056.4,1850.0,341.0,,
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4006.2,1554.0,106.0,,
603959_2024-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",3867.3,1275.0,209.0,,
002047_2025-04-24,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4219.3,1713.0,173.0,,
301139_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",7132.8,1227.0,582.0,,
603007_2024-04-30,合规/治理类,200,A+另:B,0.88,"{""choice"":""A+另:B"",""confidence"":0.88}",19969.0,1564.0,1726.0,,
300527_2025-08-12,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",7930.8,1583.0,594.0,,
002748_2024-05-16,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",7619.4,1560.0,455.0,,
605336_2026-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6020.9,1580.0,143.0,,
603272_2026-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3881.2,1384.0,207.0,,
300301_2025-01-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",8985.8,1439.0,800.0,,
002310_2024-11-23,财务类,200,C,0.98,"{""choice"":""C"",""confidence"":0.98}",9878.5,1541.0,389.0,,
000736_2025-04-15,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3159.9,1559.0,124.0,,
688201_2026-04-28,未归类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",5327.2,1775.0,346.0,,
300295_2026-04-23,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3391.2,1565.0,209.0,,
002726_2026-04-29,合规/治理类,200,A+另:B,0.95,"{""choice"":""A+另:B"",""confidence"":0.95}",12449.4,1479.0,1245.0,,
601010_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3938.6,1418.0,289.0,,
301288_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3694.8,2066.0,193.0,,
300430_2026-04-30,合规/治理类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",12091.2,1107.0,1198.0,,
603813_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4163.5,1573.0,277.0,,
600370_2026-04-29,合规/治理类,200,B+另:A,0.9,"{""choice"":""B+另:A"",""confidence"":0.9}",40869.4,1717.0,3736.0,,
603363_2024-04-30,财务类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",7845.7,1895.0,555.0,,
000838_2026-04-24,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",7603.1,1869.0,374.0,,
603828_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5965.4,1174.0,394.0,,
300326_2025-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",5852.9,1208.0,319.0,,
600130_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4758.6,1510.0,159.0,,
600476_2026-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3331.2,1455.0,115.0,,
000056_2026-04-24,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5613.9,1720.0,382.0,,
002717_2026-06-03,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",9846.6,1433.0,675.0,,
002198_2026-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5037.2,1055.0,287.0,,
002055_2026-04-29,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",5887.8,1426.0,401.0,,
002227_2026-04-21,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3819.6,1584.0,214.0,,
688646_2025-04-30,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",28467.4,1846.0,378.0,,
300460_2025-12-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",7886.5,1382.0,616.0,,
002197_2024-09-05,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",15901.1,1339.0,1404.0,,
600287_2024-07-06,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5697.4,1103.0,206.0,,
603559_2023-10-12,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",7966.3,1376.0,463.0,,
