id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
603023_2024-04-30,财务类,429,,,,2059.5,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002021_2023-11-25,重整/破产,429,,,,2242.7,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
300205_2025-04-29,合规/治理类,429,,,,1939.3,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002598_2026-05-09,合规/治理类,429,,,,2155.3,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
000615_2023-04-29,未归类,429,,,,2012.2,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002289_2023-04-27,未归类,429,,,,1737.4,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
300125_2024-08-19,合规/治理类,429,,,,1719.5,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
603869_2024-04-30,合规/治理类,429,,,,1748.5,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
000608_2025-04-19,财务类,429,,,,2041.0,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
000929_2025-04-29,财务类,429,,,,1730.2,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
300462_2025-07-05,合规/治理类,429,,,,1804.0,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002305_2025-04-29,财务类,429,,,,5256.1,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
600491_2026-04-30,未归类,429,,,,1756.2,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
600165_2024-04-03,未归类,429,,,,1749.0,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
000697_2023-03-22,未归类,429,,,,1913.8,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
600745_2026-04-30,合规/治理类,429,,,,1892.2,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002547_2026-04-29,合规/治理类,429,,,,1715.1,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002693_2025-04-29,财务类,429,,,,1889.3,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
600543_2023-04-28,财务类,429,,,,1800.4,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
603959_2024-04-30,合规/治理类,429,,,,1718.9,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002047_2025-04-24,财务类,429,,,,1757.1,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
301139_2026-05-09,合规/治理类,429,,,,1735.5,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
603007_2024-04-30,合规/治理类,429,,,,1701.0,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
300527_2025-08-12,合规/治理类,429,,,,1775.1,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002748_2024-05-16,合规/治理类,429,,,,1757.3,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
605336_2026-04-22,财务类,429,,,,1695.7,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
603272_2026-04-28,财务类,429,,,,1705.7,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
300301_2025-01-10,合规/治理类,429,,,,1986.9,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
002310_2024-11-23,财务类,429,,,,1731.3,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
000736_2025-04-15,财务类,429,,,,1700.7,,,,"{""type"":""error"",""error"":{""type"":""GoUsageLimitError"",""message"":""Go usage limit exceeded""},""metadata"":{""workspace"":""wrk_01"
