id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
002021_2023-11-25,重整/破产,200.0,C,0.98,"{""choice"":""C"",""confidence"":0.98}",12127.8,1933.0,545.0,,
300205_2025-04-29,合规/治理类,200.0,,,,78516.5,1955.0,6000.0,,
300125_2024-08-19,合规/治理类,200.0,,,,77609.7,1269.0,6000.0,,
600745_2026-04-30,合规/治理类,200.0,,,,73420.4,1686.0,6000.0,,
603007_2024-04-30,合规/治理类,200.0,A,0.95,"{""choice"":""A"",""confidence"":0.95}",30273.8,1483.0,2286.0,,
300527_2025-08-12,合规/治理类,200.0,A,0.9,"{""choice"":""A"",""confidence"":0.9}",32090.1,1502.0,2004.0,,
002726_2026-04-29,合规/治理类,200.0,A+另:B,0.95,"{""choice"":""A+另:B"",""confidence"":0.95}",18607.5,1398.0,1153.0,,
300430_2026-04-30,合规/治理类,200.0,,,,82822.5,1026.0,6000.0,,
600370_2026-04-29,合规/治理类,200.0,A,0.9,"{""choice"":""A"",""confidence"":0.9}",51153.5,1636.0,3869.0,,
002717_2026-06-03,合规/治理类,,,,,,,,,"ProxyError: HTTPSConnectionPool(host='opencode.ai', port=443): Max retries exceeded with url"
002055_2026-04-29,未归类,,,,,,,,,"ProxyError: HTTPSConnectionPool(host='opencode.ai', port=443): Max retries exceeded with url"
603559_2023-10-12,合规/治理类,200.0,A,0.95,"{""choice"":""A"",""confidence"":0.95}",25688.8,1295.0,1801.0,,
300225_2025-07-02,合规/治理类,,,,,,,,,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
600180_2026-04-29,未归类,,,,,,,,,"ReadTimeout: HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout"
002721_2023-07-21,重整/破产,200.0,C,0.95,"{""choice"":""C"",""confidence"":0.95}",48361.7,1615.0,2463.0,,
301030_2026-04-30,合规/治理类,200.0,B+另:A,0.92,"{""choice"":""B+另:A"",""confidence"":0.92}",31998.5,1554.0,2061.0,,
600136_2023-06-06,合规/治理类,200.0,,,,55267.5,1953.0,6000.0,,
603557_2024-04-27,合规/治理类,200.0,,,,107969.6,1686.0,6000.0,,
300209_2024-09-30,重整/破产,200.0,C+另:B,0.95,"{""choice"":""C+另:B"",""confidence"":0.95}",71408.0,1102.0,2747.0,,
688066_2026-04-30,未归类,200.0,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",26850.7,1984.0,2047.0,,
002848_2025-04-25,财务类,200.0,B,0.98,"{""choice"":""B"",""confidence"":0.98}",11293.1,1909.0,817.0,,
000010_2026-04-29,合规/治理类,200.0,,,,67616.1,1862.0,6000.0,,
002528_2025-04-30,合规/治理类,200.0,A+另:B,0.9,"{""choice"":""A+另:B"",""confidence"":0.9}",23408.9,1623.0,2647.0,,
