id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err,来自,primary,gold,multi,ok
603023_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4196.2,1458,150,,,主跑,B,B,False,True
002598_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",17533.9,1049,1161,,,主跑,A,A,False,True
000615_2023-04-29,未归类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",23181.0,1811,1415,,,主跑,B,B,False,True
002289_2023-04-27,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4860.8,1190,143,,,主跑,B,B,False,True
603869_2024-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",6075.1,1420,147,,,主跑,A,A,False,True
000608_2025-04-19,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6929.8,1069,126,,,主跑,B,B,False,True
000929_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3503.7,1511,98,,,主跑,B,B,False,True
300462_2025-07-05,合规/治理类,200,A,0.9,"{""choice"":""A"",""confidence"":0.9}",21584.7,1397,1112,,,主跑,A,A,False,True
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",8937.9,1588,501,,,主跑,B,B,False,True
600491_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",7343.0,1366,158,,,主跑,B,B,False,True
600165_2024-04-03,未归类,200,E,0.97,"{""choice"":""E"",""confidence"":0.97}",3807.4,1139,116,,,主跑,E,E,False,True
000697_2023-03-22,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",8351.3,1795,530,,,主跑,B,B,False,True
002547_2026-04-29,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6604.6,1210,351,,,主跑,B,B,False,True
002693_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4729.7,1769,197,,,主跑,B,B,False,True
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4401.8,1473,158,,,主跑,B,B,False,True
603959_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4074.3,1194,201,,,主跑,A,A,False,True
002047_2025-04-24,财务类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",6816.3,1632,328,,,主跑,B,B,False,True
301139_2026-05-09,合规/治理类,200,A,0.9,"{""choice"":""A"",""confidence"":0.9}",13726.1,1146,983,,,主跑,A,A,False,True
002748_2024-05-16,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",43057.4,1479,423,,,主跑,A,A,False,True
605336_2026-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3980.9,1499,158,,,主跑,B,B,False,True
603272_2026-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4379.7,1303,161,,,主跑,B,B,False,True
300301_2025-01-10,合规/治理类,200,A,0.88,"{""choice"":""A"",""confidence"":0.88}",14383.8,1358,1360,,,主跑,A,A,False,True
002310_2024-11-23,财务类,200,C,0.97,"{""choice"":""C"",""confidence"":0.97}",10856.5,1460,776,,,主跑,C,C,False,True
000736_2025-04-15,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3945.9,1478,97,,,主跑,B,B,False,True
688201_2026-04-28,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",6666.2,1694,212,,,主跑,A,A,False,True
300295_2026-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3477.6,1484,129,,,主跑,B,B,False,True
601010_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3112.0,1337,125,,,主跑,A,A,False,True
301288_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5650.7,1985,302,,,主跑,B,B,False,True
603813_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5367.3,1492,221,,,主跑,B,B,False,True
603363_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",8392.0,1814,400,,,主跑,B,B,False,True
000838_2026-04-24,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6669.0,1788,372,,,主跑,B,B,False,True
603828_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",18761.8,1093,159,,,主跑,A,A,False,True
300326_2025-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4407.2,1127,142,,,主跑,A,A,False,True
600130_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5746.4,1429,142,,,主跑,B,B,False,True
600476_2026-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6563.8,1374,126,,,主跑,B,B,False,True
000056_2026-04-24,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",7621.0,1639,474,,,主跑,B,B,False,True
002198_2026-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",3747.1,974,138,,,主跑,A,A,False,True
002227_2026-04-21,财务类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",5392.4,1503,225,,,主跑,B,B,False,True
688646_2025-04-30,未归类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",5705.5,1765,245,,,主跑,A,A,False,True
300460_2025-12-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",8059.6,1301,538,,,主跑,A,A,False,True
002197_2024-09-05,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",8682.8,1258,701,,,主跑,A,A,False,True
600287_2024-07-06,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",5877.3,1022,224,,,主跑,A,A,False,True
600337_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5649.1,1244,375,,,主跑,B,B,False,True
603721_2025-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3334.9,1456,127,,,主跑,B,B,False,True
002762_2025-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5521.6,1690,250,,,主跑,B,B,False,True
603595_2025-10-30,合规/治理类,200,A,0.92,"{""choice"":""A"",""confidence"":0.92}",8211.0,1362,579,,,主跑,A,A,False,True
002789_2025-04-25,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6789.6,1935,335,,,主跑,B,B,False,True
002124_2024-04-30,重整/破产,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",11571.0,1305,344,,,主跑,B,B,False,True
002883_2026-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",33978.2,1837,179,,,主跑,B,B,False,True
002743_2026-09-05,重整/破产,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",5234.9,1298,254,,,主跑,A,A,False,True
002742_2023-04-29,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",17727.8,1799,802,,,主跑,A,A,False,True
300211_2025-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4627.1,1845,181,,,主跑,B,B,False,True
600759_2026-04-28,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",6018.6,1283,296,,,主跑,A,A,False,True
000656_2024-04-23,重整/破产,200,C,0.98,"{""choice"":""C"",""confidence"":0.98}",5188.3,1009,142,,,主跑,C,C,False,True
000620_2023-04-29,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",11176.9,1818,585,,,主跑,B,B,False,True
688496_2026-04-29,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",22431.4,1890,347,,,主跑,A,A,False,True
600079_2025-12-13,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",11786.6,1486,734,,,主跑,A,A,False,True
600537_2026-04-28,财务类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",5242.6,1551,220,,,主跑,B,B,False,True
002713_2025-04-29,财务类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",6288.8,1840,418,,,主跑,B,B,False,True
000610_2026-04-24,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",10870.6,1743,142,,,主跑,B,B,False,True
601718_2026-04-30,合规/治理类,200,A,0.92,"{""choice"":""A"",""confidence"":0.92}",13407.6,1294,972,,,主跑,A,A,False,True
000595_2025-04-26,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5140.1,1952,230,,,主跑,B,B,False,True
002581_2026-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4918.2,1016,180,,,主跑,B,B,False,True
002656_2023-06-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",7327.6,1073,447,,,主跑,A,A,False,True
600053_2026-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",13786.1,1344,256,,,主跑,B,B,False,True
603822_2025-12-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",105369.8,1350,521,,,主跑,A,A,False,True
600439_2026-07-31,合规/治理类,200,A,0.9,"{""choice"":""A"",""confidence"":0.9}",19536.6,1289,1077,,,主跑,A,A,False,True
300091_2025-12-31,重整/破产,200,C,0.98,"{""choice"":""C"",""confidence"":0.98}",4139.7,1220,114,,,主跑,C,C,False,True
300343_2025-03-22,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",6711.7,1420,386,,,主跑,A,A,False,True
600360_2024-04-30,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",44754.5,1301,129,,,主跑,A,A,False,True
600080_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",7694.1,1477,188,,,主跑,A,A,False,True
000070_2024-05-22,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",11835.7,988,984,,,主跑,A,A,False,True
300899_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5113.2,1486,216,,,主跑,B,B,False,True
688282_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5566.8,1863,163,,,主跑,B,B,False,True
003032_2025-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",9817.6,1927,294,,,主跑,B,B,False,True
300068_2026-05-06,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",10425.4,1167,841,,,主跑,A,A,False,True
000698_2025-10-01,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",8987.9,1816,655,,,主跑,A,A,False,True
000677_2026-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4168.7,1275,107,,,主跑,A,A,False,True
000639_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5038.7,1303,259,,,主跑,A,A,False,True
603922_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",7487.2,1384,213,,,主跑,A,A,False,True
688089_2026-07-25,未归类,200,E,0.97,"{""choice"":""E"",""confidence"":0.97}",5160.9,1374,387,,,主跑,E,E,False,True
002932_2026-04-21,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4388.6,1667,131,,,主跑,B,B,False,True
300506_2024-04-26,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",26169.0,1583,519,,,主跑,B,B,False,True
001270_2025-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5250.3,1933,366,,,主跑,B,B,False,True
688189_2026-06-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",68802.9,1692,622,,,主跑,A,A,False,True
603789_2025-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",10713.2,1292,123,,,主跑,B,B,False,True
600340_2026-04-30,财务类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",5857.8,1938,483,,,主跑,B,B,False,True
002630_2025-04-29,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",30276.4,1608,198,,,主跑,A,A,False,True
002102_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3674.3,1171,126,,,主跑,A,A,False,True
002431_2026-04-25,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3659.5,1773,144,,,主跑,B,B,False,True
300152_2025-04-29,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",3960.1,1356,144,,,主跑,A,A,False,True
600818_2026-04-28,未归类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4890.7,1262,127,,,主跑,A,A,False,True
688053_2025-09-20,合规/治理类,200,A,0.92,"{""choice"":""A"",""confidence"":0.92}",10112.6,1622,537,,,主跑,A,A,False,True
000504_2025-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6101.8,1443,411,,,主跑,B,B,False,True
300093_2025-04-29,未归类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",10372.0,1732,825,,,主跑,B,B,False,True
002542_2026-04-18,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",12020.2,1404,126,,,主跑,B,B,False,True
000793_2025-03-17,合规/治理类,200,A,0.92,"{""choice"":""A"",""confidence"":0.92}",7148.9,1350,515,,,主跑,A,A,False,True
002021_2023-11-25,重整/破产,200.0,C,0.98,"{""choice"":""C"",""confidence"":0.98}",12127.8,1933.0,545.0,,,补跑(6000),C,C,False,True
300205_2025-04-29,合规/治理类,200.0,,,,78516.5,1955.0,6000.0,,,补跑(6000),,B,False,False
300125_2024-08-19,合规/治理类,200.0,,,,77609.7,1269.0,6000.0,,,补跑(6000),,A,False,False
600745_2026-04-30,合规/治理类,200.0,,,,73420.4,1686.0,6000.0,,,补跑(6000),,B,False,False
603007_2024-04-30,合规/治理类,200.0,A,0.95,"{""choice"":""A"",""confidence"":0.95}",30273.8,1483.0,2286.0,,,补跑(6000),A,A,False,True
300527_2025-08-12,合规/治理类,200.0,A,0.9,"{""choice"":""A"",""confidence"":0.9}",32090.1,1502.0,2004.0,,,补跑(6000),A,A,False,True
002726_2026-04-29,合规/治理类,200.0,A+另:B,0.95,"{""choice"":""A+另:B"",""confidence"":0.95}",18607.5,1398.0,1153.0,,,补跑(6000),A,A,True,True
300430_2026-04-30,合规/治理类,200.0,,,,82822.5,1026.0,6000.0,,,补跑(6000),,B,False,False
600370_2026-04-29,合规/治理类,200.0,A,0.9,"{""choice"":""A"",""confidence"":0.9}",51153.5,1636.0,3869.0,,,补跑(6000),A,B,False,False
002717_2026-06-03,合规/治理类,,,,,,,,,"ProxyError: HTTPSConnectionPool(host='opencode.ai', port=443): Max retries exceeded with url",补跑(6000),,B,False,False
002055_2026-04-29,未归类,,,,,,,,,"ProxyError: HTTPSConnectionPool(host='opencode.ai', port=443): Max retries exceeded with url",补跑(6000),,B,False,False
603559_2023-10-12,合规/治理类,200.0,A,0.95,"{""choice"":""A"",""confidence"":0.95}",25688.8,1295.0,1801.0,,,补跑(6000),A,A,False,True
300225_2025-07-02,合规/治理类,,,,,,,,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),补跑(6000),,B,False,False
600180_2026-04-29,未归类,,,,,,,,,"ReadTimeout: HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout",补跑(6000),,B,False,False
002721_2023-07-21,重整/破产,200.0,C,0.95,"{""choice"":""C"",""confidence"":0.95}",48361.7,1615.0,2463.0,,,补跑(6000),C,C,False,True
301030_2026-04-30,合规/治理类,200.0,B+另:A,0.92,"{""choice"":""B+另:A"",""confidence"":0.92}",31998.5,1554.0,2061.0,,,补跑(6000),B,B,True,True
600136_2023-06-06,合规/治理类,200.0,,,,55267.5,1953.0,6000.0,,,补跑(6000),,C,False,False
603557_2024-04-27,合规/治理类,200.0,,,,107969.6,1686.0,6000.0,,,补跑(6000),,B,False,False
300209_2024-09-30,重整/破产,200.0,C+另:B,0.95,"{""choice"":""C+另:B"",""confidence"":0.95}",71408.0,1102.0,2747.0,,,补跑(6000),C,C,True,True
688066_2026-04-30,未归类,200.0,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",26850.7,1984.0,2047.0,,,补跑(6000),B,B,True,True
002848_2025-04-25,财务类,200.0,B,0.98,"{""choice"":""B"",""confidence"":0.98}",11293.1,1909.0,817.0,,,补跑(6000),B,B,False,True
000010_2026-04-29,合规/治理类,200.0,,,,67616.1,1862.0,6000.0,,,补跑(6000),,B,False,False
002528_2025-04-30,合规/治理类,200.0,A+另:B,0.9,"{""choice"":""A+另:B"",""confidence"":0.9}",23408.9,1623.0,2647.0,,,补跑(6000),A,B,True,False
