id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
603023_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4196.2,1458,150,,
002021_2023-11-25,重整/破产,200,,,,31921.3,1933,2000,,
300205_2025-04-29,合规/治理类,200,,,,31248.1,1955,2000,,
002598_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",17533.9,1049,1161,,
000615_2023-04-29,未归类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",23181.0,1811,1415,,
002289_2023-04-27,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4860.8,1190,143,,
300125_2024-08-19,合规/治理类,200,,,,34245.5,1269,2000,,
603869_2024-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",6075.1,1420,147,,
000608_2025-04-19,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6929.8,1069,126,,
000929_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3503.7,1511,98,,
300462_2025-07-05,合规/治理类,200,A,0.9,"{""choice"":""A"",""confidence"":0.9}",21584.7,1397,1112,,
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",8937.9,1588,501,,
600491_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",7343.0,1366,158,,
600165_2024-04-03,未归类,200,E,0.97,"{""choice"":""E"",""confidence"":0.97}",3807.4,1139,116,,
000697_2023-03-22,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",8351.3,1795,530,,
600745_2026-04-30,合规/治理类,200,,,,25031.7,1686,2000,,
002547_2026-04-29,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6604.6,1210,351,,
002693_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4729.7,1769,197,,
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4401.8,1473,158,,
603959_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4074.3,1194,201,,
002047_2025-04-24,财务类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",6816.3,1632,328,,
301139_2026-05-09,合规/治理类,200,A,0.9,"{""choice"":""A"",""confidence"":0.9}",13726.1,1146,983,,
603007_2024-04-30,合规/治理类,200,A+另:B,0.95,"{""choice"":""A+另:B"",""confidence"":0.95}",12431.9,1483,980,,
300527_2025-08-12,合规/治理类,200,,,,31028.0,1502,2000,,
002748_2024-05-16,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",43057.4,1479,423,,
605336_2026-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3980.9,1499,158,,
603272_2026-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4379.7,1303,161,,
300301_2025-01-10,合规/治理类,200,A,0.88,"{""choice"":""A"",""confidence"":0.88}",14383.8,1358,1360,,
002310_2024-11-23,财务类,200,C,0.97,"{""choice"":""C"",""confidence"":0.97}",10856.5,1460,776,,
000736_2025-04-15,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3945.9,1478,97,,
688201_2026-04-28,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",6666.2,1694,212,,
300295_2026-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3477.6,1484,129,,
002726_2026-04-29,合规/治理类,200,A+另:B,0.95,"{""choice"":""A+另:B"",""confidence"":0.95}",34589.3,1398,1533,,
601010_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3112.0,1337,125,,
301288_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5650.7,1985,302,,
300430_2026-04-30,合规/治理类,200,,,,44154.4,1026,2000,,
603813_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5367.3,1492,221,,
600370_2026-04-29,合规/治理类,200,,,,54842.8,1636,2000,,
603363_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",8392.0,1814,400,,
