id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
300205_2025-04-29,合规/治理类,200,B,0.92,"{""choice"":""B"",""confidence"":0.92}",8416.6,2031,238,,
002598_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",17899.5,1180,110,,
000615_2023-04-29,未归类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",7954.9,1873,374,,
002289_2023-04-27,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",7876.9,1268,116,,
300125_2024-08-19,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4879.1,1361,128,,
603869_2024-04-30,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",7937.0,1478,115,,
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4416.6,1668,137,,
600491_2026-04-30,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",4268.5,1455,143,,
600745_2026-04-30,合规/治理类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",9543.1,1758,331,,
002547_2026-04-29,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4275.2,1303,126,,
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5670.3,1544,104,,
603007_2024-04-30,合规/治理类,200,B,0.85,"{""choice"":""B"",""confidence"":0.85}",19405.5,1606,580,,
688201_2026-04-28,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",7879.3,1767,113,,
601010_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3742.9,1425,91,,
300326_2025-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",7457.5,1226,108,,
600130_2025-04-29,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3786.2,1511,85,,
002717_2026-06-03,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",5116.3,1411,149,,
002055_2026-04-29,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",3899.5,1437,99,,
002197_2024-09-05,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",3800.9,1330,100,,
600337_2026-04-30,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",7701.7,1347,140,,
002762_2025-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5301.8,1767,116,,
300225_2025-07-02,合规/治理类,200,B+另:A,0.92,"{""choice"":""B+另:A"",""confidence"":0.92}",9047.8,1304,278,,
002124_2024-04-30,重整/破产,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4287.0,1395,118,,
002742_2023-04-29,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4902.0,1887,138,,
600759_2026-04-28,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4704.6,1379,94,,
000620_2023-04-29,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5441.4,1888,97,,
002713_2025-04-29,财务类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",4727.0,1858,148,,
002656_2023-06-30,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",6373.2,1155,180,,
600360_2024-04-30,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3761.3,1403,116,,
603557_2024-04-27,合规/治理类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",5258.2,1786,127,,
688282_2024-04-30,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3292.1,1873,51,,
300068_2026-05-06,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4297.9,1235,89,,
000677_2026-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",6118.3,1383,95,,
000639_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4025.7,1418,110,,
603922_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3583.3,1472,99,,
002630_2025-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4861.7,1705,119,,
002431_2026-04-25,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3437.8,1810,46,,
300152_2025-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4743.8,1455,98,,
600818_2026-04-28,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3633.7,1358,87,,
000504_2025-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3345.1,1534,65,,
002528_2025-04-30,合规/治理类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",4771.1,1703,127,,
