id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
603023_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5682.2,1508,93,,
002021_2023-11-25,重整/破产,200,C,0.98,"{""choice"":""C"",""confidence"":0.98}",5446.2,2003,81,,
300205_2025-04-29,合规/治理类,200,B+另:A,0.92,"{""choice"":""B+另:A"",""confidence"":0.92}",15948.7,2031,507,,
002598_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",9145.8,1180,139,,
000615_2023-04-29,未归类,200,B,0.9,"{""choice"":""B"",""confidence"":0.9}",25435.3,1873,973,,
002289_2023-04-27,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",6956.2,1268,117,,
300125_2024-08-19,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",5451.6,1361,119,,
603869_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",5733.6,1478,86,,
000608_2025-04-19,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",4379.9,1144,62,,
000929_2025-04-29,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",6133.6,1588,119,,
300462_2025-07-05,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",9548.5,1449,280,,
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5662.9,1668,132,,
600491_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4374.5,1455,58,,
600165_2024-04-03,未归类,200,E,0.98,"{""choice"":""E"",""confidence"":0.98}",11575.7,1223,69,,
000697_2023-03-22,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4168.7,1871,85,,
600745_2026-04-30,合规/治理类,200,B+另:A,0.95,"{""choice"":""B+另:A"",""confidence"":0.95}",9240.2,1758,304,,
002547_2026-04-29,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5860.5,1303,125,,
002693_2025-04-29,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3386.8,1832,43,,
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4662.0,1544,138,,
603959_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",4571.4,1305,91,,
002047_2025-04-24,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3923.2,1724,81,,
301139_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",4518.3,1231,108,,
