id,truth_rule,http,choice,conf,raw,ms,ptok,ctok,cost_usd,err
603023_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2513.5,1433,101,,
002021_2023-11-25,重整/破产,200,C,0.95,"{""choice"":""C"",""confidence"":0.95}",3779.8,1928,236,,
300205_2025-04-29,合规/治理类,200,B,0.82,"{""choice"":""B"",""confidence"":0.82}",6268.5,1956,494,,
002598_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",3838.6,1105,332,,
000615_2023-04-29,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",3251.0,1798,159,,
002289_2023-04-27,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3165.2,1193,105,,
300125_2024-08-19,合规/治理类,200,"E+另:A,B",0.72,"{""choice"":""E+另:A,B"",""confidence"":0.72}",22408.8,1286,2430,,
603869_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2433.3,1403,72,,
000608_2025-04-19,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2722.4,1069,76,,
000929_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4669.4,1513,113,,
300462_2025-07-05,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",4056.7,1374,198,,
002305_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3327.7,1593,139,,
600491_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3124.2,1380,138,,
600165_2024-04-03,未归类,200,E,0.98,"{""choice"":""E"",""confidence"":0.98}",2541.3,1148,71,,
000697_2023-03-22,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3007.3,1796,102,,
600745_2026-04-30,合规/治理类,200,A,0.82,"{""choice"":""A"",""confidence"":0.82}",5880.2,1683,584,,
002547_2026-04-29,合规/治理类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2281.5,1228,102,,
002693_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2758.9,1757,136,,
600543_2023-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2505.6,1469,126,,
603959_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2077.3,1230,71,,
002047_2025-04-24,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2505.2,1649,71,,
301139_2026-05-09,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2563.9,1156,116,,
603007_2024-04-30,合规/治理类,200,A,0.9,"{""choice"":""A"",""confidence"":0.9}",4180.1,1531,331,,
300527_2025-08-12,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2653.0,1516,124,,
002748_2024-05-16,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",2387.6,1514,109,,
605336_2026-04-22,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2440.7,1480,92,,
603272_2026-04-28,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2428.8,1300,102,,
300301_2025-01-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",3400.6,1370,183,,
002310_2024-11-23,财务类,200,C,0.9,"{""choice"":""C"",""confidence"":0.9}",8544.5,1461,960,,
000736_2025-04-15,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",1937.1,1476,57,,
688201_2026-04-28,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2712.4,1692,102,,
300295_2026-04-23,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",1974.2,1456,44,,
002726_2026-04-29,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",6126.4,1429,226,,
601010_2026-04-29,合规/治理类,200,A,0.99,"{""choice"":""A"",""confidence"":0.99}",2309.7,1350,54,,
301288_2025-04-29,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2729.1,1910,85,,
300430_2026-04-30,合规/治理类,200,B,0.72,"{""choice"":""B"",""confidence"":0.72}",18964.6,1054,2025,,
603813_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",5642.8,1468,118,,
600370_2026-04-29,合规/治理类,200,B+另:A,0.9,"{""choice"":""B+另:A"",""confidence"":0.9}",14590.4,1624,891,,
603363_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3946.5,1789,99,,
000838_2026-04-24,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3469.3,1757,100,,
603828_2024-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3135.2,1116,54,,
300326_2025-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3466.0,1151,66,,
600130_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2981.6,1436,101,,
600476_2026-04-28,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2898.7,1400,65,,
000056_2026-04-24,未归类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",4091.3,1629,122,,
002717_2026-06-03,合规/治理类,200,B,0.85,"{""choice"":""B"",""confidence"":0.85}",10520.5,1336,864,,
002198_2026-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2404.0,1012,70,,
002055_2026-04-29,未归类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",6142.3,1362,382,,
002227_2026-04-21,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",1962.8,1512,43,,
688646_2025-04-30,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2846.8,1751,87,,
300460_2025-12-10,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2337.7,1301,66,,
002197_2024-09-05,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3861.5,1255,158,,
600287_2024-07-06,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",2349.9,1033,75,,
603559_2023-10-12,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",3786.7,1284,219,,
600337_2026-04-30,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2928.2,1272,92,,
603721_2025-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3695.0,1459,121,,
002762_2025-04-23,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2991.0,1692,145,,
603595_2025-10-30,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",3135.2,1389,175,,
002789_2025-04-25,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2354.9,1914,99,,
300225_2025-07-02,合规/治理类,200,A,0.72,"{""choice"":""A"",""confidence"":0.72}",10759.4,1229,1028,,
002124_2024-04-30,重整/破产,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2197.3,1320,97,,
002883_2026-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",4427.8,1812,120,,
002743_2026-09-05,重整/破产,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",2587.5,1282,88,,
002742_2023-04-29,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",4974.3,1812,235,,
300211_2025-04-30,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",3739.9,1813,74,,
600180_2026-04-29,未归类,200,B,0.85,"{""choice"":""B"",""confidence"":0.85}",22069.1,1506,1465,,
600759_2026-04-28,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",2335.5,1307,79,,
000656_2024-04-23,重整/破产,200,C,0.99,"{""choice"":""C"",""confidence"":0.99}",2651.1,1025,70,,
000620_2023-04-29,未归类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2729.1,1816,92,,
002721_2023-07-21,重整/破产,200,C,0.95,"{""choice"":""C"",""confidence"":0.95}",6069.1,1612,506,,
688496_2026-04-29,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3635.1,1882,182,,
600079_2025-12-13,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2769.3,1514,133,,
600537_2026-04-28,财务类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",2878.6,1544,111,,
002713_2025-04-29,财务类,200,B,0.97,"{""choice"":""B"",""confidence"":0.97}",4638.9,1783,113,,
000610_2026-04-24,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2398.6,1701,47,,
601718_2026-04-30,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",3138.7,1322,140,,
000595_2025-04-26,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3194.9,1935,104,,
002581_2026-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3222.9,1035,139,,
301030_2026-04-30,合规/治理类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",3334.8,1549,163,,
002656_2023-06-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3099.4,1080,173,,
600053_2026-04-29,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2083.9,1328,53,,
603822_2025-12-10,合规/治理类,200,A,0.92,"{""choice"":""A"",""confidence"":0.92}",4332.2,1370,308,,
600136_2023-06-06,合规/治理类,200,C,0.78,"{""choice"":""C"",""confidence"":0.78}",63718.3,1963,5534,,
600439_2026-07-31,合规/治理类,200,A,0.92,"{""choice"":""A"",""confidence"":0.92}",6402.2,1320,329,,
300091_2025-12-31,重整/破产,200,C,0.99,"{""choice"":""C"",""confidence"":0.99}",2094.3,1229,51,,
300343_2025-03-22,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",5603.3,1417,151,,
600360_2024-04-30,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2612.7,1328,80,,
603557_2024-04-27,合规/治理类,200,A+另:B,0.9,"{""choice"":""A+另:B"",""confidence"":0.9}",6675.7,1711,494,,
600080_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2548.6,1492,85,,
000070_2024-05-22,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2750.9,1029,102,,
300899_2025-04-29,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2353.6,1481,88,,
688282_2024-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2582.0,1798,100,,
003032_2025-04-22,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2064.2,1913,41,,
300068_2026-05-06,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2218.4,1160,99,,
000698_2025-10-01,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2613.7,1786,120,,
000677_2026-04-30,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2471.4,1308,89,,
000639_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2535.7,1343,70,,
300209_2024-09-30,重整/破产,200,C,0.95,"{""choice"":""C"",""confidence"":0.95}",5005.9,1120,237,,
603922_2026-04-29,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",2613.1,1397,85,,
688089_2026-07-25,未归类,200,E,0.98,"{""choice"":""E"",""confidence"":0.98}",4156.3,1373,75,,
002932_2026-04-21,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2726.7,1648,97,,
300506_2024-04-26,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3208.7,1543,122,,
001270_2025-04-23,财务类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2466.3,1882,42,,
688066_2026-04-30,未归类,200,B,0.95,"{""choice"":""B"",""confidence"":0.95}",5061.3,1928,221,,
688189_2026-06-10,合规/治理类,200,A,0.97,"{""choice"":""A"",""confidence"":0.97}",2836.4,1686,84,,
603789_2025-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2546.6,1279,96,,
600340_2026-04-30,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3434.6,1905,163,,
002630_2025-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",3348.9,1630,104,,
002102_2026-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2903.0,1206,96,,
002431_2026-04-25,未归类,200,B,0.99,"{""choice"":""B"",""confidence"":0.99}",2618.2,1735,106,,
300152_2025-04-29,合规/治理类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2377.9,1380,84,,
600818_2026-04-28,未归类,200,A,0.98,"{""choice"":""A"",""confidence"":0.98}",2562.5,1283,69,,
688053_2025-09-20,合规/治理类,200,A,0.95,"{""choice"":""A"",""confidence"":0.95}",2892.4,1579,124,,
000504_2025-04-22,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",2944.0,1459,104,,
002848_2025-04-25,财务类,200,B,0.98,"{""choice"":""B"",""confidence"":0.98}",3102.8,1888,174,,
