code,truth,pred,conf,ms,in_tok,out_tok,err
000971,不变,worse,1.0,757.2,1246,15,
000571,不变,worse,1.0,642.1,1022,15,
002193,不变,worse,1.0,452.8,1160,15,
300297,不变,worse,1.0,641.5,1324,15,
002044,不变,better,0.95,546.7,1025,14,
000998,不变,better,1.0,748.3,1668,14,
002278,不变,worse,1.0,921.2,912,15,
002493,不变,better,0.95,952.1,1094,14,
300689,不变,worse,1.0,1157.4,1052,15,
002620,不变,worse,0.9,789.6,898,15,
002642,不变,worse,1.0,807.4,1041,15,
000931,不变,worse,1.0,636.9,959,15,
002753,不变,worse,1.0,648.3,915,15,
300618,不变,better,0.9,973.2,861,14,
300125,不变,worse,1.0,935.2,1198,15,
002630,不变,worse,1.0,824.5,1362,15,
002284,不变,worse,1.0,787.7,1709,15,
000698,不变,worse,1.0,620.0,992,15,
002360,不变,worse,1.0,608.0,1340,15,
002586,不变,worse,1.0,745.4,1474,15,
002750,坏→更坏,worse,1.0,760.3,1134,15,
300466,坏→更坏,worse,1.0,890.9,1481,15,
002681,坏→更坏,worse,1.0,691.6,749,15,
002537,坏→更坏,worse,1.0,1389.0,875,15,
002362,坏→更坏,worse,1.0,788.0,626,15,
300270,坏→更坏,worse,1.0,1034.1,698,15,
002240,坏→更坏,worse,1.0,791.6,950,15,
002504,坏→更坏,worse,1.0,1537.8,759,15,
002390,坏→更坏,worse,1.0,808.7,952,15,
002160,坏→更坏,worse,1.0,841.8,717,15,
002420,坏→更坏,worse,1.0,670.7,839,15,
002055,坏→更坏,worse,1.0,798.7,792,15,
002471,坏→更坏,worse,0.98,1236.2,859,15,
002708,坏→更坏,worse,1.0,1004.9,747,15,
002297,坏→更坏,worse,1.0,926.3,685,15,
002011,坏→更坏,worse,1.0,824.7,1925,15,
002848,坏→更坏,worse,1.0,1152.1,771,15,
002094,坏→更坏,worse,1.0,1096.8,783,15,
002527,坏→更坏,worse,1.0,1041.4,1018,15,
300173,坏→更坏,worse,0.98,908.6,618,15,
300080,好→更好,worse,1.0,1166.1,1548,15,
002270,好→更好,better,0.9,853.4,637,14,
002725,好→更好,better,1.0,989.0,632,14,
002299,好→更好,better,1.0,770.7,690,14,
002496,好→更好,worse,1.0,804.3,1338,15,
002232,好→更好,better,1.0,1000.7,656,14,
000985,好→更好,worse,1.0,1000.1,676,15,
000835,好→更好,worse,0.95,1054.4,1018,15,
002431,好→更好,worse,1.0,729.0,1184,15,
002772,好→更好,better,1.0,800.2,930,14,
002259,好→更好,better,1.0,824.9,703,14,
002468,好→更好,better,0.98,784.4,1029,14,
300251,好→更好,worse,1.0,910.9,1780,15,
002515,好→更好,worse,1.0,816.2,1452,15,
002340,好→更好,better,1.0,874.9,675,14,
002201,好→更好,better,1.0,1087.2,639,14,
002343,好→更好,worse,0.98,779.1,1865,15,
002485,好→更好,worse,1.0,786.5,1611,15,
002840,好→更好,better,1.0,756.9,600,14,
002485,好→更好,better,1.0,714.3,672,14,
