date,变更,名单内变更,名单内·明说会亏累计,名单内·已确认累计,名单内·未确认累计
2023-10-21 00:00:00,1,0,0,0,483
2023-10-26 00:00:00,1,0,0,0,483
2023-10-28 00:00:00,1,0,0,0,483
2023-11-29 00:00:00,1,0,0,0,483
2023-12-11 00:00:00,1,0,0,0,483
2023-12-18 00:00:00,1,0,0,0,483
2023-12-21 00:00:00,1,0,0,0,483
2023-12-22 00:00:00,2,0,0,0,483
2023-12-26 00:00:00,1,0,0,0,483
2023-12-27 00:00:00,1,0,0,0,483
2023-12-28 00:00:00,1,0,0,0,483
2023-12-30 00:00:00,1,0,0,0,483
2024-01-02 00:00:00,2,0,0,0,483
2024-01-03 00:00:00,3,0,0,0,483
2024-01-04 00:00:00,4,0,0,0,483
2024-01-05 00:00:00,6,0,0,0,483
2024-01-06 00:00:00,6,0,0,0,483
2024-01-08 00:00:00,3,0,0,0,483
2024-01-09 00:00:00,9,0,0,0,483
2024-01-10 00:00:00,13,0,0,0,483
2024-01-11 00:00:00,10,0,0,0,483
2024-01-12 00:00:00,12,0,0,0,483
2024-01-13 00:00:00,27,2,1,2,481
2024-01-15 00:00:00,10,1,1,3,480
2024-01-16 00:00:00,35,2,2,5,478
2024-01-17 00:00:00,35,1,2,6,477
2024-01-18 00:00:00,34,0,2,6,477
2024-01-19 00:00:00,39,3,4,9,474
2024-01-20 00:00:00,37,3,5,12,471
2024-01-22 00:00:00,20,0,5,12,471
2024-01-23 00:00:00,62,6,8,18,465
2024-01-24 00:00:00,91,13,17,31,452
2024-01-25 00:00:00,88,9,26,40,443
2024-01-26 00:00:00,142,15,38,55,428
2024-01-27 00:00:00,225,34,65,89,394
2024-01-29 00:00:00,80,12,71,101,382
2024-01-30 00:00:00,537,102,153,203,280
2024-01-31 00:00:00,981,238,362,441,42
2024-02-01 00:00:00,7,1,363,442,41
2024-02-02 00:00:00,2,0,363,442,41
2024-02-05 00:00:00,2,0,363,442,41
2024-02-06 00:00:00,1,0,363,442,41
2024-02-21 00:00:00,1,0,363,442,41
2024-02-24 00:00:00,4,0,363,442,41
2024-02-26 00:00:00,1,0,363,442,41
2024-02-29 00:00:00,1,0,363,442,41
2024-03-04 00:00:00,1,0,363,442,41
2024-03-08 17:53:13,1,1,363,443,40
2024-03-09 00:00:00,1,1,364,444,39
2024-03-15 00:00:00,2,1,364,445,38
2024-03-16 00:00:00,1,0,364,445,38
2024-03-18 21:04:28,1,0,364,445,38
2024-03-19 00:00:00,3,1,364,446,37
2024-03-20 00:00:00,2,0,364,446,37
2024-03-22 19:06:24,1,0,364,446,37
2024-03-25 19:56:27,1,1,364,447,36
2024-03-26 00:00:00,2,1,365,448,35
2024-03-27 18:40:28,1,0,365,448,35
2024-03-28 00:00:00,1,0,365,448,35
2024-03-29 17:18:32,1,0,365,448,35
2024-03-30 00:00:00,1,0,365,448,35
2024-04-01 18:08:21,1,0,365,448,35
2024-04-02 00:00:00,1,0,365,448,35
2024-04-03 00:00:00,1,1,365,449,34
2024-04-03 20:06:24,1,0,365,449,34
2024-04-08 19:22:20,1,0,365,449,34
2024-04-09 00:00:00,1,0,365,449,34
2024-04-09 18:39:18,1,0,365,449,34
2024-04-10 00:00:00,3,1,365,450,33
2024-04-10 21:48:22,1,0,365,450,33
2024-04-11 00:00:00,1,1,365,451,32
2024-04-12 00:00:00,1,0,365,451,32
2024-04-13 00:00:00,3,0,365,451,32
2024-04-16 00:00:00,2,1,365,452,31
2024-04-16 19:53:17,1,1,365,453,30
2024-04-17 16:52:30,1,0,365,453,30
2024-04-18 00:00:00,1,0,365,453,30
2024-04-18 17:32:26,1,0,365,453,30
2024-04-19 00:00:00,2,0,365,453,30
2024-04-19 15:59:12,1,0,365,453,30
2024-04-19 17:38:20,1,0,365,453,30
2024-04-19 20:23:15,1,0,365,453,30
2024-04-19 21:27:15,1,0,365,453,30
2024-04-20 00:00:00,3,1,365,454,29
2024-04-22 00:00:00,1,0,365,454,29
2024-04-22 16:44:30,1,0,365,454,29
2024-04-22 18:33:14,1,0,365,454,29
2024-04-22 18:49:16,1,0,365,454,29
2024-04-22 19:39:08,1,0,365,454,29
2024-04-23 00:00:00,6,2,365,456,27
2024-04-23 17:07:04,1,1,365,457,26
2024-04-23 18:41:20,1,0,365,457,26
2024-04-24 00:00:00,2,2,366,459,24
2024-04-24 16:49:11,1,0,366,459,24
2024-04-25 00:00:00,2,0,366,459,24
2024-04-25 19:15:26,1,0,366,459,24
2024-04-26 00:00:00,2,1,366,460,23
2024-04-26 19:17:26,1,0,366,460,23
2024-04-27 00:00:00,6,2,367,462,21
2024-04-29 00:00:00,3,2,369,464,19
2024-04-30 00:00:00,4,1,370,465,18
