code,date,grp
000010,2026-04-29,① 没亏但戴帽
000506,2024-05-21,① 没亏但戴帽
000677,2026-04-30,① 没亏但戴帽
002102,2026-04-29,① 没亏但戴帽
002198,2026-04-30,① 没亏但戴帽
002598,2026-05-09,① 没亏但戴帽
002731,2026-02-07,① 没亏但戴帽
002748,2024-05-16,① 没亏但戴帽
002762,2025-04-23,① 没亏但戴帽
002822,2024-02-24,① 没亏但戴帽
002932,2026-04-21,① 没亏但戴帽
002977,2026-04-23,① 没亏但戴帽
300205,2025-04-29,① 没亏但戴帽
300225,2025-07-02,① 没亏但戴帽
300343,2025-03-22,① 没亏但戴帽
300527,2025-08-12,① 没亏但戴帽
300561,2025-04-23,① 没亏但戴帽
300965,2024-04-25,① 没亏但戴帽
301139,2026-05-09,① 没亏但戴帽
600079,2025-12-13,① 没亏但戴帽
600080,2026-04-29,① 没亏但戴帽
600082,2026-04-11,① 没亏但戴帽
600130,2025-04-29,① 没亏但戴帽
600169,2025-11-01,① 没亏但戴帽
600180,2026-04-29,① 没亏但戴帽
600187,2026-04-30,① 没亏但戴帽
600287,2024-07-06,① 没亏但戴帽
600360,2024-04-30,① 没亏但戴帽
600678,2026-04-29,① 没亏但戴帽
600711,2024-07-31,① 没亏但戴帽
600759,2026-04-28,① 没亏但戴帽
600777,2024-04-27,① 没亏但戴帽
600965,2026-04-30,① 没亏但戴帽
601010,2026-04-29,① 没亏但戴帽
603008,2026-04-25,① 没亏但戴帽
603189,2026-04-30,① 没亏但戴帽
603268,2025-04-28,① 没亏但戴帽
603272,2026-04-28,① 没亏但戴帽
603517,2025-09-20,① 没亏但戴帽
603580,2025-04-29,① 没亏但戴帽
603595,2025-10-30,① 没亏但戴帽
688022,2026-04-30,① 没亏但戴帽
688076,2025-07-19,① 没亏但戴帽
688089,2026-07-25,① 没亏但戴帽
688646,2025-04-30,① 没亏但戴帽
000056,2026-04-24,③ 亏了也戴帽
000070,2024-05-22,③ 亏了也戴帽
000078,2026-04-30,③ 亏了也戴帽
000430,2025-11-04,③ 亏了也戴帽
000488,2025-04-01,③ 亏了也戴帽
000504,2025-04-22,③ 亏了也戴帽
000595,2025-04-26,③ 亏了也戴帽
000608,2025-04-19,③ 亏了也戴帽
000609,2024-04-26,③ 亏了也戴帽
000610,2026-04-24,③ 亏了也戴帽
000615,2023-04-29,③ 亏了也戴帽
000620,2023-04-29,③ 亏了也戴帽
000632,2026-04-29,③ 亏了也戴帽
000637,2023-04-29,③ 亏了也戴帽
000639,2026-04-29,③ 亏了也戴帽
000656,2024-04-23,③ 亏了也戴帽
000697,2023-03-22,③ 亏了也戴帽
000698,2025-10-01,③ 亏了也戴帽
000736,2025-04-15,③ 亏了也戴帽
000793,2025-03-17,③ 亏了也戴帽
000826,2026-04-29,③ 亏了也戴帽
000838,2026-04-24,③ 亏了也戴帽
000903,2026-04-28,③ 亏了也戴帽
000908,2024-04-30,③ 亏了也戴帽
