code,date,grp,chars,锚点,类别,证据,title,非公司件,未实施件,粗类
000010,2026-04-29,① 没亏但戴帽,2831,实施其他风险警示的原因,内控被否 / 重大缺陷,025年度财务内部控制进行审计，出具了无法表示意见的内部控制审计报告。根据《深圳证券交易所股票上市规则》（2026年修订）第9.8.1条第四项的规定，上市公司出现“最近一个会计,关于公司股票交易将被实施退市风险警示及其他风险警示暨停牌的公告,False,False,合规/治理类
000506,2024-05-21,① 没亏但戴帽,2564,,内控被否 / 重大缺陷,报字[2024]第ZB10760号）及无法表示意见的内部控制审计报告（信会师报字[2024]第ZB10761号）。根据《深圳证券交易所股票上市规则》第9.3.1条第（三）项规定,关于公司主要银行账户被冻结暨股票交易叠加实施其他风险警示的公告,False,False,合规/治理类
000677,2026-04-30,① 没亏但戴帽,1803,,内控被否 / 重大缺陷,司（以下简称“公司”）2025年度被出具了否定意见的内部控制审计报告，根据《深圳证券交易所股票上市规则》(以下简称“《上市规则》”)第9.8.1条（四）“公司最近一年度被出具无,恒天海龙股份有限公司关于公司股票将被实施其他风险警示暨停牌并变更证券简称的公告,False,False,合规/治理类
002102,2026-04-29,① 没亏但戴帽,1665,实施其他风险警示的原因,内控被否 / 重大缺陷,他风险警示的原因大信对公司2025年度出具了否定意见内部控制审计报告。根据《深圳证券交易所股票上市规则》第9.8.1条“上市公司出现以下情形之一的，本所对其股票实施其他风险警示,关于公司股票被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
002198,2026-04-30,① 没亏但戴帽,1317,实施其他风险警示的原因,内控被否 / 重大缺陷,事务所（特殊普通合伙）出具了否定意见的《2025年度内部控制审计报告》（众会字（2026）第03569号）。根据《深圳证券交易所股票上市规则》第9.8.1条第(四)项的规定，“,关于公司股票将被实施其他风险警示暨停复牌的公告,False,False,合规/治理类
002598,2026-05-09,① 没亏但戴帽,1607,,内控被否 / 重大缺陷,关于关注山东省章丘鼓风机股份有限公司被出具否定意见的内部控制审计报告、股票交易被叠加实施其他风险警示和可能被实施退市风险警示的公告山东省章丘鼓风机股份有限公司（以下简称“山东章,中诚信国际关于关注山东省章丘鼓风机股份有限公司被出具否定意见的内部控制审计报告、股票交易被叠加实施其他风险警示和可能被实,False,False,合规/治理类
002731,2026-02-07,① 没亏但戴帽,1737,的主要原因,账户 / 资产被冻结,讼或仲裁，从而导致公司及子公司主要银行账户被人民法院冻结，对公司业务开展带来重大影响。经慎重判断，公司基于谨慎原则认为，属于主要银行账户被冻结的情形，触及深圳证券交易所《股票上,关于公司主要银行账户被冻结暨股票交易被实施其他风险警示及股票停牌的公告,False,False,合规/治理类
002748,2024-05-16,① 没亏但戴帽,2204,的主要原因,信息披露违法 / 立案 / 处罚,七条：自新规则施行之日起，上市公司收到中国证监会相关行政处罚事先告知书的，适用新规则第9.8.1条第八项关于虚假记载其他风险警示情形的规定。新规则施行前收到行政处罚事先告知书，,关于公司股票被实施其他风险警示暨股票停牌的公告,False,False,合规/治理类
002762,2025-04-23,① 没亏但戴帽,2487,的主要原因,财务类：收入或净资产指标,损益后的净利润-4531.68万元为负值，且扣除后的营业收入低于3亿元。上述财务数据触及《深圳证券交易所股票上市规则》第9.3.1条“（一）最近一个会计年度经审计的利润总额、净,关于公司股票交易被实施退市风险警示暨股票停牌的公告,False,False,财务类
002822,2024-02-24,① 没亏但戴帽,1785,的主要原因,账户 / 资产被冻结,"书，交通银行股份有限公司深圳分行向福田区人民法院申请冻结包含公司银行基本户在内的5个银行账户共计55,662,143.94元。截至目前，公司货币资金余额426,363,558.",关于公司主要银行账户被冻结暨股票交易被实施其他风险警示及股票停牌的公告,False,False,合规/治理类
002932,2026-04-21,① 没亏但戴帽,2509,的主要原因,财务类：收入或净资产指标,扣除非经常性损益后的净利润三者孰低为负值，且扣除后的营业收入低于3亿元”的情形，深圳证券交易所对公司股票交易实施退市风险警示。三、公司董事会关于争取撤销退市风险警示的意见及主要,关于公司股票交易被实施退市风险警示暨股票停复牌安排的公告,False,False,财务类
