code,date,prev,after,段_前,段_后,勾选,方向,翻面
000004,2022-04-28,,,"10,000 万元 - 14,800 万元","10,000 万元 - 14,800 万元",,,
000007,2026-04-22,335.0,,270 万元至400 万元,,,,
000010,2018-02-10,-12850.0,,"12,000 万元 ～ 13,700 万元",,,,
000010,2018-04-14,,,,,,,
000010,2023-04-22,,,,,,,
000017,2021-04-15,,,700 万元–1050 万元,700 万元–1050 万元,,,
000038,2019-04-16,-84000.0,,"69,000 万元至99,000 万元",,亏损,,
000043,2018-03-09,47500.0,32680.455,"44,000 万元～51,000 万元","30,500.00 万元～34,860.91 万元",同向上升,坏→更坏,0.0
000048,2019-04-12,19000.0,,"16,000 万元–22,000 万",,,,
000058,2019-04-16,8280.0,,"7,200 万元至9,360 万元",,同向下降,,
000066,2023-03-31,28500.0,,"24,000 万元—33,000 万元",,,,
000068,2017-01-24,-3821.0,,"-4,321 万元至-3,321 万元",,同向下降,,
000068,2023-04-29,,,,,,,
000150,2023-04-20,33500.0,,"27,000万元—40,000万元",,,,
000151,2021-02-06,-24000.0,77000.0,21000 万元-27000 万,72000 万元–82000 万元,,好→更好,1.0
000403,2022-04-16,,44260.0,,"40,169 万元–48,351 万元",,,
000410,2018-01-29,,,,,,,
000428,2017-04-14,,-20500.0,,"21,500万元–19,500万元",,,
000502,2022-04-29,,,,,,,
000506,2018-04-14,,,,,,,
000506,2018-04-16,-18500.0,,16000 万元-21000 万元,,亏损,,
000509,2019-04-13,,-2250.0,,"2,000 万元–2,500 万元",,,
000523,2021-04-15,,,,,亏损,,
000523,2025-03-14,,,"8,000 万元—11,000 万","8,000 万元–11,000 万",,,
000525,2021-04-15,,,,,,,
000525,2024-04-27,-32000.0,,"28,000 万元—36,000 万元",,,,
000540,2022-04-29,,,,,,,
000545,2021-01-30,-4501.8,183000.0,3876.55 万元-5127.05 万元,181000 万元-185000 万元,亏损,好→更好,1.0
000546,2023-04-17,1550.0,,"1,300 万元–1,800 万元",,,,
000547,2023-04-15,11150.0,,"9,700 万元–12,600 万元",,,,
000558,2020-01-18,,8900.0,,"8,000 万元 - 9,800 万元",亏损,,
000558,2021-01-30,,-8000.0,,"7,000 万元–9,000 万元",,,
000571,2023-04-27,,,,,,,
000572,2021-04-23,,,,,,,
000585,2019-03-28,,,,,,,
